x, y
-0.14754098360655737, 8883.930385148975
-0.02459016393442623, 8275.004426910753
0.09836065573770492, 7617.13824039954
0.2459016393442623, 7011.572680815772
0.39344262295081966, 6530.98262345108
0.5655737704918032, 6011.766873101954
0.7131147540983607, 5599.705910757187
0.8852459016393442, 5215.888597953821
1.1065573770491803, 4801.223352574104
1.4262295081967213, 4316.150123834118
1.8442622950819672, 3834.4377231994467
2.1885245901639343, 3571.6161381938755
2.3852459016393444, 3447.039980955785
2.6065573770491803, 3326.808976822548
2.8770491803278686, 3172.998913418901
3.1967213114754096, 3062.3263225636438
3.4918032786885247, 2955.5139354780204
3.8360655737704916, 2852.4271102147472
4.081967213114754, 2785.707957609958
3.663934426229508, 2886.38355013685
4.327868852459016, 2720.54938662647
4.573770491803279, 2656.9148947773374
4.745901639344262, 2594.7688333800875
4.967213114754098, 2534.07638758595